protein	iFOT.C_2_1	iFOT.C_2_3	iFOT.C_3_1	iFOT.C_3_2	iFOT.C_4_4	iFOT.C_4_5	iFOT.C_4_8	iFOT.C_5_3	iFOT.Z_1_3	iFOT.Z_1_4	iFOT.Z_2_10	iFOT.Z_2_11	iFOT.Z_4_12	iFOT.Z_5_6	iFOT.Z_5_7	iFOT.Z_6_3
Mrpl49	0.51	0.58	0.71	0.66	0.59	0.58	1.15	0.67	0.69	0.78	0.74	0.88	0.56	0.7	0.79	0.53
Calb2	36.32	30.64	44.4	44.77	46.02	36.84	56.73	43.75	27.16	28.16	42.24	22.46	26.86	31.88	33.67	26.83
Mrps26	0.85	0.6	0.9	0.43	0.24	0.58	0.86	0.7	0.81	0.62	0.85	0.99	0.64	0.85	0.7	0.48
Mrps28	0.25	0.72	0.19	0.24	0.69	0.16	0.16	0.14	0.39	0.2	0.63	0.29	0.22	0.26	0.7	0.11
Mrps36	24.51	19.47	30.05	30.92	26.15	45.09	12.34	14.15	11.51	24.17	16.28	47.82	23.34	38.25	37.5	17.06
Mrrf	3.21	2.07	3.24	5.34	2.72	1.83	2.18	3.2	0.56	1.18	2.17	4.46	1.2	4.52	2.39	1.06
Naxd	3.03	2.35	2.08	2.45	2.98	2.58	1.7	2.77	1.5	1.08	1.98	1.88	2.1	2.29	1.41	1.81
Msi2	2.9	2.18	1.88	1.88	3.71	1.35	2.89	1.56	3.12	0.91	4.33	0.54	2.33	1.13	2.03	1.64
Msl1	0.21	0.19	0.34	0.13	0.24	0.26	0.43	0.62	0.37	0.23	0.42	0.15	0.19	0.24	0.38	0.2
Nrxn1	8.77	6.23	8.46	6.75	9.75	6.78	7.22	6.96	5	3.42	5.32	5.78	5.85	7.23	6.02	4.35
Msra	1.8	2.12	2.2	2.72	2.55	1.02	2.58	2.47	1.99	1.54	2.96	1.78	1.4	1.08	1.72	1.28
Scamp5	23.02	28.02	14.52	27.94	26.37	27.36	23.05	25.55	24.94	13.77	21.37	15.27	17.31	12.1	21.86	11.45
Mta1	3.22	4.5	2.77	3.87	5.85	1.17	4.67	6.7	4.91	1.58	4.8	1.2	3.51	1.97	2.85	3.42
Mta2	2.32	3	2.95	1.33	3.79	0.42	4.52	3.82	6.87	0.91	3	0.55	2.26	0.57	1.73	2.15
Casp3	43.2	52.02	34.01	40.37	58.13	32.86	50.86	40.07	40.72	24.51	38	21.54	32.91	29.04	21.38	40.46
Mtdh	2.92	2.17	6.17	3.38	2.26	2.07	2.24	1.97	3.66	2.51	1.36	5.74	2.13	4.22	5.75	3.8
Mtfr1l	1.21	0.89	3.74	1.02	1.62	1.51	0.67	0.75	1.92	1.73	1.46	3.82	0.93	1.75	1.97	1.37
Mthfd1	4.78	4.71	2.15	2.65	2.63	2.35	4.1	1.54	1.88	1.22	2.38	3.28	1.95	2.4	1.57	2.92
Mtmr7	0.29	0.57	0.23	0.23	0.49	0.51	0.72	0.47	0.32	0.32	0.57	0.23	0.44	0.27	0.55	0.3
Kif2a	13.78	12.52	11.4	12.07	12.85	8.74	15.1	14.9	9.25	7.62	7.9	7.69	9.95	8.4	11.6	9.32
Ddx3x	13.46	12.05	11.86	10.61	12.19	7.97	19.19	14.12	13.02	7.31	12.66	4.29	8.14	6.5	9.3	10.65
Cbr1	33.06	28.53	20.14	25.44	43.35	22.34	35.18	29.32	16.91	15.11	22.49	21.94	23.13	22.01	21.28	25.49
Ppp3cb	4.11	3.18	3.73	4.97	6.1	5.75	5.09	5	2.79	3.99	1.21	2.91	3.22	5.5	2.75	4.55
Prrc1	3.15	3.39	3.31	5.38	3.63	2.16	4.78	3.85	2.5	2.08	3.63	2.51	2.71	2.69	2.84	2.09
Thop1	17	15.84	14.1	13.12	14.76	10.7	14.24	14.1	10.74	10.03	13.78	9.55	9.29	8.77	10.6	8.16
Rab14	70.5	61.25	43.22	47.68	62.67	53.93	70.72	58.25	47.55	31.72	49.25	53.52	37.29	43.03	39.77	31.37
Mvb12b	0.69	0.82	0.53	0.57	1.01	1.11	0.41	0.35	0.51	1.17	0.49	0.73	1.39	1.02	1.3	1.07
Tuba1b	28.97	30.9	25.93	40.49	29.12	27.6	41.04	38.73	25.64	11.53	33.87	19.98	21.29	24.79	21.28	28.92
Nckap1	7.04	6.87	4.44	7.56	5.68	5.34	7.95	9.31	4.87	3.31	5.97	3.44	4.44	4.13	7.95	4.56
Acaca	1.49	1.54	0.85	1.02	1.14	1.22	1.44	1.59	1.22	0.87	1.15	0.77	0.9	0.65	0.86	0.93
Mybbp1a	0.44	0.99	0.61	0.82	0.66	0.16	0.6	0.66	1.59	0.59	1.34	0.33	1.16	0.3	1.11	0.89
Mycbp	3.23	5.11	3.16	3.31	1.82	2.35	3.3	4.57	1.93	1.82	2.14	3.45	1.76	3.92	6.38	2.4
Mycbp2	0.1	0.11	0.1	0.12	5.93	0.15	0.12	0.1	0.08	0.05	0.11	0.01	0.05	0.04	0.04	0.05
Mydgf	2.68	2.3	2.33	3.27	2.45	4.3	4.39	3.59	3.72	3	3.35	2.88	3.26	2.91	3.26	3.4
Myef2	27.31	28.84	22.84	26.61	26.7	6.5	27.02	31.01	25.12	16.38	21.95	6.97	26.23	10.06	15.42	27.19
Opcml	53.77	47.57	48.64	56.61	35.57	58.68	30.93	41.68	26.48	33.4	28.24	44.05	39.51	32.26	32.69	29.86
Myh10	18.04	20.85	13.71	16.82	21.15	13.21	17.67	15.62	19.29	13.46	20.63	15.51	12.92	17.15	18.34	15.58
Psmb1	38.82	31.97	29.31	41.46	31.96	29.15	45.89	46.9	36.11	17.13	21.31	15.75	38.75	29.01	18.74	34.13
Me1	5.21	4.04	3.39	6.25	3.8	4.71	5.2	5.27	4.38	2.59	4.5	3.93	2.6	3.68	2.31	3.03
Myl12b	95.74	89.61	102.31	91.23	113.4	105.33	85.07	86.78	76.3	125.54	91.69	142.01	87.13	106.76	115.96	83.88
Myl6	116.76	103.56	137.13	103.9	118.73	149.28	86.33	121.42	122.95	148.75	134.66	161.46	126.15	156.51	81.05	115.73
Vsnl1	79.43	89.1	87.8	99.55	125.01	88.05	101.17	97.81	66.12	55.31	76.12	68.23	59.34	72.52	81.09	69.83
Myo18a	1.53	2.21	1.26	2.24	1.99	1.45	2.18	1.95	2.47	1.47	2.28	1.76	1.36	2.07	1.45	1.74
Myo1b	0.91	1.15	0.62	0.95	0.89	0.61	1.26	1.46	1.19	0.7	0.74	0.25	0.59	0.66	0.84	0.83
Myo1c	0.07	0.05	0.05	0.18	0.13	0.15	0.23	0.22	0.28	0.2	0.16	0.11	0.1	0.45	0.15	0.23
Rab6b	7.33	6.36	8.34	11.61	10.32	9.06	9.34	9.17	5.86	3.82	6.14	7.27	6.23	4.99	11.26	5.56
Uba6	1.05	1.04	0.68	0.64	1.37	0.63	1.08	0.59	0.6	0.67	0.72	0.62	0.36	0.65	0.79	0.66
Myo6	0.34	0.24	0.07	0.22	0.23	0.09	0.27	0.13	0.21	0.07	0.45	0.18	0.19	0.25	0.18	0.15
Mzt2	1.21	1.26	0.87	1.08	1.14	0.81	0.69	0.67	1	1.33	0.82	0.81	1.23	1	0.91	0.23
Naa15	1.77	1.52	1.41	1.65	1.31	1.68	3.26	2.57	2.04	1.57	3.67	1.45	1.45	1.77	1.37	2.18
Naa25	0.22	0.29	0.25	0.27	0.25	0.18	0.32	0.55	0.43	0.22	0.1	0.18	0.4	0.02	0.39	0.25
Naa38	0.93	1.01	2.61	2.15	0.7	1.04	0.97	0.43	0.57	1.24	1.41	1.15	0.96	1.35	0.31	0.49
Naa50	1.13	0.04	1.6	2.44	0.58	0.1	0.51	0.5	0.5	0.57	2.37	0.36	0.65	1.22	0.85	1.42
Naca	7.63	7.19	8	6.58	8.31	6.33	7.94	8.05	6.4	7.38	7.57	3.89	6.56	7.42	6.75	8.18
Nae1	2.95	2.13	2.35	2.5	2.83	2	2.33	4.96	2.78	4.98	2.53	2.4	2.77	3.19	1.7	2.38
Naf1	0.13	0.12	0.11	0.13	0.18	0.12	0.13	0.11	0.1	0.11	0.12	0.14	0.1	0.12	0.11	0.12
Eef1a2	12.13	10.09	7.77	11.66	7.81	7.2	10.8	13.69	7.26	4.41	10.89	6.83	6.51	8.03	6.4	7.79
Nagk	6.64	4.55	4.39	4.38	5.98	5.53	4.06	4.5	7.57	4.48	4.87	4.53	5.16	3.67	4.72	5.26
Ppid	21.2	17.31	15.75	16.5	18.67	15.63	16.92	19.6	17.54	9.29	13.24	7.51	13.66	13.28	12.43	14.56
Nanp	0.59	0.36	0.33	0.36	0.75	0.37	0.23	0.28	0.4	0.57	0.34	0.53	0.29	0.59	0.48	0.45
Nans	13.35	15.86	9.44	11.36	14.83	14.38	16.38	13.94	15.89	12.62	17.69	13.88	14.12	13.83	15.5	17.56
Nap1l1	13.81	13.57	11.73	12.15	12.02	12.33	7.62	7.55	11.4	9.77	8.71	15.07	6.6	11.73	10.31	9.62
Nap1l4	41.22	31.09	37.65	31.84	39.17	47.07	30.33	24.99	33.65	27.56	25.07	43.35	26.32	42.97	26.99	35.89
Napa	5.26	10.26	5.57	6.46	8.24	4.23	10.32	9.69	7.35	6.85	4.41	3.16	7.11	6.68	6.11	6.54
Fmr1	2.3	3.02	2.92	1.98	3.11	1.29	2.91	3.04	2.57	1.27	2.41	1.33	1.49	1.52	2.18	1.96
Nipsnap1	6.22	6.56	6.89	5.16	7.76	4.55	7.89	9.22	5.56	4	6.66	3.29	5.02	3.99	4.5	5.89
Nars	14.59	15.58	13.74	15.55	22.19	13.21	17.73	17	16.52	11.02	15.86	14.27	11.5	14.79	10.11	15.56
Nasp	15.61	15.53	14.43	10.47	14.18	10.53	13.05	15.05	12.6	17.75	13.04	11.57	12.66	14.7	15.58	13.18
Nat10	0.24	0.47	0.18	0.19	0.28	0.08	0.23	0.14	0.18	0.1	0.36	0.04	0.34	0.05	0.14	0.15
Cpe	11.01	12.96	11.85	13.34	13.35	13.74	10.86	12.91	6.64	4.23	8.86	10.11	9.34	10.61	11.64	10.39
Smad2	0.62	0.5	0.39	0.42	0.62	0.37	0.72	0.62	0.39	0.3	0.44	0.21	0.3	0.55	0.43	0.44
Naxe	2.74	2.87	3.38	5.48	3.75	4.59	3.8	4.05	3.47	1.95	2.99	4.22	2.91	4.04	4.79	3.61
Atg7	0.41	0.32	0.36	0.46	0.38	0.43	0.58	0.49	0.21	0.27	0.27	0.23	0.27	0.32	0.32	0.57
Ssr4	10.56	10.02	8.5	10.07	16.72	10.94	17.73	18.86	10.4	7.71	12.89	7.79	9.8	6.25	9.76	9.91
Atic	14.44	12.05	13.46	16.89	13.28	13.23	13.16	10.14	9.3	8.75	14.58	9.92	7.35	8.04	8.35	10.64
Ncam2	8.44	8.72	9.31	10.5	12.67	8.71	7.85	9.77	4.92	6.13	7.04	11.27	7.12	10.28	10.8	10
Fdps	59.33	58.81	48.79	66.02	59.78	60.93	52.6	65.81	58.33	31.1	41.24	35.02	46.18	37.13	40.85	50.81
Ncbp1	3.14	2.19	3.21	1.03	2.27	0.3	4.29	2.3	3.96	1.17	3.98	0.69	2.16	0.18	0.48	1.26
Arpc5	26.5	25.6	24.08	23.69	25.88	10.35	21.41	24.27	16.71	20.43	23.75	18.99	11.69	15.91	12.83	10.9
Arhgap35	1.05	0.86	0.83	0.85	1.01	0.83	1.02	0.98	0.58	0.38	1.12	0.37	0.53	0.82	0.91	0.66
Hpcal4	9.76	10.74	8.55	11.75	13.43	8.5	10.43	8.54	7.49	6.28	10.08	6.87	7.92	6.44	8.28	5.62
Ncl	31.29	49.4	41.59	35.33	54.29	17.34	50.78	46.22	55.32	39.26	60.86	28.04	55.14	36.73	47.09	47.06
Dpysl5	245.11	228.99	157.29	222.47	249.69	178.99	258.03	230.84	186.9	148.7	159.2	165.15	132.87	145.97	174.19	166.44
Ncoa5	4.97	6.16	6.28	7.12	6.98	1.11	5.97	8.12	9.56	2.37	3.5	2.16	6.56	1.25	3.95	1.8
Ncs1	22.31	15.3	27.53	22.42	21.41	17.44	10.02	12.92	11.39	12.72	10.3	25.84	17.73	13.64	18.21	11.91
Ncstn	1.05	0.87	0.66	0.59	0.93	1.15	1.07	0.87	0.31	0.78	0.92	0.94	0.81	1	1.45	0.31
Atp2a2	13.34	21.58	14.58	12.02	19.32	11.55	16.85	17.56	13.26	7.41	14.44	6.09	11.98	11.47	14.83	12.23
Ndrg1	13.27	10.94	9.85	12.41	9.36	12.33	6.68	10.89	9.01	10.4	10.23	11.96	9.26	4.02	6.17	9.85
Ndrg2	17.36	18.63	15.56	16.25	10.63	21.49	22.44	12.71	17.42	13.97	15.15	21.45	17.87	19.25	14.34	14.77
Cse1l	8.52	10.34	7.54	9.23	7.87	7.71	8.51	8.41	7.13	6.67	7.08	6.42	5.32	5.72	4.1	6.89
Atxn10	11.88	13.99	9.92	15.33	13.92	14.61	15.99	16.98	11.12	9.65	12.29	7.49	10.38	10.51	7.22	12.88
Ndufa12	7.33	4.79	4.94	4.1	8.39	4.17	10.46	7.59	5.3	5.48	5.64	3.15	8.84	3.84	7.87	4.3
Ndufa13	7	8.33	1.5	5.44	8.06	2.72	6.87	8.32	3.15	0.96	13.1	1.22	9.55	4.04	4.02	1.41
Vps26b	8.6	15.14	8.27	10.58	14.16	9.19	9.55	12.94	6.15	5.48	10.24	5.13	7.79	8.33	10.3	10.6
Kif5c	11.25	14.26	10.7	15.15	13.91	14.57	15.23	14.06	10.9	9.13	9.85	8.44	8.89	11.11	8.42	12.37
Psmd1	10.06	12.87	8.59	10.69	13.95	7.81	13.8	12.4	8.1	7.82	11.81	6.75	7.07	7.68	7.03	9.11
Ppp2r1a	78.05	78.06	64.57	69.35	72.48	59.77	72.75	78.38	56.65	44.4	66.82	48.42	49.06	43.29	49.37	57.78
Vamp2	446.87	300.85	511.04	450.47	508.04	528.04	334.09	404.57	292.22	354.92	306.89	365.28	294.49	333.02	301.14	280.16
Ndufa7	10.83	14.5	23.67	18.84	10.78	21.13	8.36	34.58	14.58	27.47	12.69	15.66	14.96	29.88	15.38	20.5
Ndufab1	29.52	23.76	29.57	32.19	38.4	42	29.19	27.74	19.15	23.49	19.16	39.76	27.8	28.16	15.91	21.51
Eif4a1	59.74	73.48	92.42	71.5	69.96	53.32	108.79	91.43	73.67	50.03	75.36	40.34	50.53	45.83	51.02	63.63
Hint1	118.47	122.23	143.06	130.93	138.26	90.01	159.67	128.58	73.23	89.76	137.06	124.51	62.92	102.42	72	89.39
Ndufb3	14.25	16.05	10.1	15.54	4.21	13.11	16.12	16.79	7.75	6.67	15.3	8.49	10.5	8.56	10.37	11.76
Ndufb5	4.63	8.1	3.73	2.73	3.87	2.34	9.49	6.68	1.82	1.89	4.61	2.02	5.71	2.13	3.46	2.79
Ndufb6	0.86	2.32	1.8	0.49	6.48	2.88	1.35	2.25	1.75	1.45	2.4	1.83	4.51	2.15	2.06	2.76
Ndufb7	0.88	1.74	1.82	2.43	3.44	2	0.98	3.02	2.34	0.78	0.87	4.15	2.52	2.52	2.77	2.37
Ak1	42.98	38.12	43.12	52.47	35.44	42.67	31.71	25.89	20.26	27.48	25.48	35.66	25.83	31.24	26.7	34.95
Ndufb9	1.1	0.84	0.97	1.7	3.05	2.14	1.7	4.06	1.89	0.91	1.44	1.79	1.63	0.84	1.71	2.64
Myo5a	9.05	8.78	5.97	8.05	7.41	6.19	9.42	8.2	7.25	5.22	7.08	3.93	5.5	4.84	6.24	5.91
Ndufs1	0.71	0.72	1.52	0.41	0.89	0.65	0.6	0.59	0.09	0.06	0.46	0.72	0.75	0.16	0.99	0.21
Snx27	2.19	2.08	2.45	2.22	2.36	2.38	3.08	2.12	2	1.48	1.25	0.79	1.85	1.29	2.2	2.91
Ndufs4	11.23	6.8	14.54	3.09	4.28	11.56	2.52	9.51	12.13	9.54	11.07	7.49	9.6	8.16	12.94	10.33
Ndufs6	49.8	32.77	52.11	48.03	33.03	56.58	29.36	33.77	40.93	40.67	39.15	57.35	32.75	48.16	31.16	34.34
Ndufs7	2.45	2.33	2.64	3.13	2.55	0.84	3.19	2.4	2.56	1.71	2.27	1.68	4.14	0.43	2.47	0.67
Ndufs8	6.5	7.76	9.27	8.18	4.94	4.66	6.14	2.35	5.22	6.11	3.86	6.42	4.18	1.3	4.73	3.07
Ndufv1	2.13	1.64	6.58	1.97	1.54	0.42	0.72	2.07	1.34	0.69	2.08	3.16	1.54	2.57	1.39	1.98
Ndufv2	14.42	6.19	17	9.57	16.41	17.81	16.81	13	11.04	9.53	10.31	18.24	9.66	11.51	11.19	11.73
Ndufv3	5.52	5.3	12.38	8.17	11.19	12.23	5.89	5	4.55	10.57	5.33	16.31	5.66	12.63	7.17	7.39
2210010C04Rik	59.98	58.53	57.8	62.28	58.37	68.43	91.42	103.28	31.14	45.39	36.6	47.47	57.64	41.26	83.33	66.51
Necab2	0.35	1.13	0.59	1.76	2.67	0.31	0.26	1.41	0.22	0.44	0.43	1.14	0.98	1.43	1.3	1.05
Necap1	8.1	8.85	8.3	8.03	11.11	9.36	16.47	9.27	8.77	7.47	11.86	8.39	8.52	11.18	13.52	8.51
Ctnnd2	6.4	6.1	4.35	5.83	4.97	5.97	4.18	4.28	3.64	3.28	3.75	2.64	4.03	4.18	4.78	4.54
Alg2	5.53	7.74	3.6	5.58	7.3	4.4	6.84	5.21	5.88	3.91	4.56	3.02	3.3	4.15	5.01	4.03
Nectin2	0.58	1.39	1.25	0.71	1.93	0.96	0.82	1.23	0.45	0.74	0.75	2.15	0.94	1.2	1.3	1.52
Nedd4	9.19	7.96	7.72	7.7	9.81	5.52	7.78	11	11.13	6.19	10.19	4.51	5.11	6.25	8.69	6.24
Nedd4l	1.55	2.44	2.28	2.2	2.84	1.58	0.93	2.39	0.94	0.68	2.05	0.5	1.76	1.66	1.58	2.42
Nedd8	34.13	34.1	33.52	39.53	34.21	29.44	33.7	27.53	39.27	36.72	37.38	26.96	34.39	27.63	28.07	17.19
Cox6c	83.32	80.46	79.91	51.66	76.91	63.28	78.65	47.42	49.62	56.2	42.55	49.12	63	52.36	43.71	55.58
Lin7c	28.45	29.01	28.46	34.89	31.23	21.12	27.05	26.6	18.65	23.53	21.69	22.86	19.19	29.68	19.92	10.96
Negr1	22.24	17.2	25.94	27.59	22.68	16.29	20.81	18.95	17.44	28.42	12.81	35.56	14.71	26.59	24.89	13.81
Cacna2d1	7.27	5.08	9.17	7.57	8.87	7.69	7.1	6.91	5.3	3.9	5.03	8.16	5.14	7.41	4.55	4.35
Nelfe	0.29	0.36	0.57	0.49	0.34	0.22	0.35	0.33	0.43	0.61	0.44	1.12	0.43	0.45	0.51	0.09
Cdkn1b	13.38	14.65	18.83	14.08	15.74	21.69	11.61	14.16	10.6	16.81	11.26	15.05	9.71	8.46	9.01	10.44
Nemf	0.19	0.06	0.2	0.16	0.17	0.22	0.34	0.33	0.32	0.04	0.23	0.13	0.08	0.23	0.15	0.07
Nenf	27.3	13.65	26.28	19.59	24.12	47.11	9.01	27.63	7.59	27.84	2.99	24.19	8.04	24.66	12.78	14.74
Gstm1	9.85	14.94	15.7	16.8	21.29	14.98	12.1	13.8	6.99	10.17	11.8	9.78	9.53	14.89	12.17	12.6
Gabrg2	0.8	0.81	0.63	0.67	0.76	0.54	0.54	0.35	0.48	0.25	0.67	0.58	0.5	0.49	0.53	0.25
Ipo7	5.57	6.57	4.47	5.34	7.21	5.26	7.6	6.68	5.37	4.21	4.66	4.27	4.86	3.92	3.37	5.18
Nf1	0.4	0.61	0.32	0.78	0.51	0.24	0.8	0.61	0.29	0.33	0.57	0.12	0.18	0.96	0.27	0.3
Nfasc	3.79	3.6	4.12	4.45	5.93	6.51	3.6	4.48	2.45	4.88	2.72	4.19	3.24	5.55	3.73	2.75
Dync1i1	7.37	8.63	5.15	7.84	5.95	7.57	6.98	4.78	6.19	4.59	3.36	2.9	6.24	4	6.47	6.21
Nfya	5.83	4.85	6.26	4.56	6.97	5.48	3.96	3.76	4.44	8.85	3.94	10.03	4.27	7.96	6.6	6.51
Nfyb	3.04	2.99	0.28	4.41	4.68	3.78	2.74	2.02	4.24	4.37	0.18	4.19	2.65	3.42	3.61	5.02
Nfyc	0.6	1.39	1.26	1.33	1.7	0.35	1.7	1.46	1.27	0.78	1.85	0.51	1.62	0.72	1.01	0.5
Ncan	51.52	38.49	59.76	54.28	55.96	76.19	48.41	49.95	32.94	48.91	32.98	40.82	47.37	42.02	41.73	33.32
Strip1	1.05	0.87	1.07	1.09	1.09	0.99	0.79	0.4	0.82	0.4	0.61	0.5	0.64	0.76	1.02	0.67
Plxna1	5.94	5.02	4.76	6.9	6.49	5.4	5.14	6.37	4.03	3.09	5.01	4.43	3.4	5.28	5.46	3.2
Pafah1b2	43.74	25.54	25.31	35	33.77	28.38	22.91	21	20.56	17.96	27.78	15.65	17.88	28.97	25.77	19.13
Map1a	8.38	8.41	11.11	9.55	12.26	11.85	7.73	9.01	5.94	8.18	8.66	7.37	6.41	9.42	6.61	5.18
Nif3l1	2.01	1.54	0.53	1.29	0.93	0.57	3.4	1.78	2.4	1.91	2.17	1.28	1.66	1.4	1.13	2.38
Nipbl	0.04	0.06	0.06	0.03	0.05	0.01	0.3	0.09	0.03	0.03	0.06	0.02	0.06	0.03	0.04	0.01
Add1	35.59	33.8	30.59	38.32	35.81	34.08	36.09	34.03	34.2	18.65	33.24	25.08	22.52	20.42	22.69	28.49
Nisch	0.11	0.06	0.03	0.17	0.08	0.09	0.03	0.21	0.1	0.05	0.13	0.04	0.09	0.07	0.13	0.04
Nit1	0.89	0.31	0.25	0.3	0.2	0.11	0.43	0.22	0.44	0.09	0.31	0.21	0.14	0.4	0.17	0.12
Nit2	8.71	2.14	2.24	2.53	1.7	4.04	5.33	4.44	3.78	3.2	4.26	7.36	5.35	5.46	3.55	2.14
Dlg2	3.34	2.16	3	2.93	2.68	2.09	2.9	3.52	3.16	1.2	2.78	1.57	1.73	1.98	1.83	2.44
Nlgn2	2.33	2.75	1.46	2.99	2.82	2.65	2.09	2.46	2.73	1.83	3.14	1.9	2.15	1.63	4.45	2.8
Csnk2a1	16.63	19.93	14.58	17.2	17.14	15.96	24.42	19.37	21.07	8.61	21.56	8.22	11.95	11.5	10.92	13.42
Nln	2.33	2.57	1.93	2.08	3.96	1.49	2.33	2.07	1.24	1.75	1.33	2.19	1.69	2.1	2.39	1.04
Srm	22.91	23.12	21.2	17.59	26.17	22.52	26.21	15.65	22.18	13.11	25.67	16.42	14.37	10.99	10.04	16.74
Nme2	197.29	313.12	249.36	278.43	323.96	310.7	359.25	273.05	231.76	248.96	329.95	223.8	277.02	264.79	267.83	267
Nmral1	6.85	5.49	6.41	6.7	8.3	9.49	4.12	5.36	13.63	5.14	11.44	6.85	12.48	7.07	6.44	13.02
Nmt1	4.34	5.15	4.34	3.05	5.8	2.69	8.06	5.6	5.03	3.49	4.07	4.83	3.5	3.77	4.15	5.15
Nmt2	1.26	1.59	2.07	0.53	2.01	0.29	2.09	1.57	0.7	0.74	1.39	1.77	1.14	1.14	0.69	0.79
Grb2	25.94	24.18	23.28	22.5	29.19	24.11	29.31	24.61	20.47	20.67	25.81	13.73	15.51	17.04	15.23	21.58
Nolc1	3.43	4.9	4	4.68	3.07	4.62	1.8	3.08	2.96	9.19	3.62	6.51	3.56	2.35	4.11	4.74
Nomo1	0.26	0.95	0.47	0.16	0.32	0.01	0.43	0.59	0.56	0.2	0.38	0.05	0.27	0.03	0.18	0.17
Nono	97.38	109.65	91.14	89.83	110.84	46.45	111.38	131.79	129.16	74.06	110.98	64.64	104.89	58.96	61.43	102.51
Cyc1	6.06	4.46	4.61	5.75	6.09	3.7	5.61	6.46	4.98	4.19	6.07	2.54	3.39	2.9	3.56	3.98
Nop56	2.09	5.04	2.17	1.4	3.28	0.29	5.69	4.72	4.56	0.6	4.15	1.98	3.34	1.24	2.69	2.36
Nop58	1.67	3.18	2.53	1.45	2.39	0.3	3.98	2.95	7.61	1.23	6.21	0.38	5.79	1.56	4.34	4.32
Pitpna	32.46	25.05	22.21	33.25	40.85	30.23	33.14	19.49	14.45	14.04	27.6	24.76	25.49	21.7	27.56	19.69
Ppp2r5d	5.05	5.85	3.32	5.25	5.33	6.32	6.65	6.58	5.01	3.09	5.25	2.73	5.62	4.48	3.51	3.18
Nova1	1.4	0.96	1.36	0.95	2.34	0.49	2.05	1.13	3.24	1.01	1.7	1.23	2.2	3.5	2.26	1.88
Nova2	11.93	18.14	10.25	12.15	22.99	3.02	20.99	16.72	15.56	10.11	10.05	4.76	14.95	7.54	8.28	14.71
Sdhb	15.24	15.28	14.45	15.64	11.69	11.82	12.81	19.59	12.02	14.81	16.85	9.91	6.78	10.84	8.23	6.97
Katnal2	3.73	3.64	3.34	3.53	3.87	2.87	5.57	3.88	3.14	2.38	3.39	2.16	2.89	2.63	2.54	3.48
Macf1	4	4.05	3.21	3.64	4.29	3.73	4.42	4.94	3.91	2.51	3.25	2.23	2.43	3.09	3.33	3.23
Cend1	82.3	83.2	88.76	62.7	64.21	81.16	53.49	66.1	33.01	65.42	45.39	78.52	43.26	73.79	47.83	44.96
Nploc4	1.98	3.25	1.34	1.55	1.22	1.44	1.44	3.12	2.51	1.51	11	1.12	1.39	0.98	1.61	1.75
Npm1	191.53	200.53	279.75	194.75	197.21	141.33	154.14	216.39	267.79	268.62	211.65	209.93	206.18	228.32	214.23	179.38
Nptn	19.95	28.59	24.2	22.71	25.28	35.53	20.74	22.1	20.42	20.82	21.56	24.6	16.88	21.86	23.37	20.93
Pygb	17.49	18.99	11.7	21.49	21.67	12.97	24.4	20.38	13.92	10.59	18.03	9.72	14.59	14.18	13.58	16.25
Gucy1b3	2.63	1.67	1.43	2.44	1.55	1.83	1.6	1.95	2.2	1.1	1.75	1.09	1.49	1.02	1.3	1.33
Tenm4	0.52	0.44	0.73	0.69	0.94	0.89	0.54	0.46	0.43	0.52	0.61	0.54	0.3	0.48	0.58	0.41
Cep170	6.78	5.42	7.04	5.97	7.72	6.33	7.27	7.36	6.83	6.15	5.76	3.55	4.18	4.47	4.04	5.36
Nsf	18.42	17.65	13.65	19.55	19.93	13.45	22.15	18.9	13.16	8.89	17.47	11.22	15.22	13.35	11.59	16.78
Cbx3	81.95	93.8	103.28	67.8	98.51	38.67	104.07	83.45	92.12	48.34	67.76	49.35	63.73	48.99	65.06	68.28
Nrde2	0.03	0.05	0.03	0.02	0.03	0.01	0.03	0.03	0.03	0.02	0.03	0.03	0.02	0.03	0.03	0.06
Mtpn	93.81	108.04	134.67	102.38	117.92	139.53	81.94	111.66	65	118.5	74.87	74.81	95.77	107.9	56.75	75.1
Nrp1	0.56	0.12	0.46	0.91	1.18	0.59	0.58	0.58	0.69	0.71	0.16	0.53	0.34	1.48	1.19	0.47
Nrp2	3.92	1.93	2.86	2.74	2.36	3.24	0.96	2.96	2.28	2.74	3.42	3.59	2.06	0.71	3.3	2.75
Tpt1	152.6	124.04	153.88	146.38	137.27	86.03	131.89	136.84	115.1	98.27	119.3	110.11	63.67	98.12	100.19	98.49
Gsk3b	19.66	20.73	17.01	15.83	25.98	11.95	26.91	26.2	16.75	11.31	21.36	15.18	14.42	15.16	13.54	15.88
Nrxn3	1.58	0.76	1	0.89	2.09	1.18	0.86	1.24	0.58	0.58	0.44	1.26	0.45	1.09	1.16	0.81
Nsdhl	2.69	3.05	2.67	5.86	5.28	4.08	7.04	5.7	3.5	3.9	3.92	1.23	4.9	3.49	4.49	6.24
Nrcam	11	8.81	11	9.07	11.39	11.45	11.21	10.45	7.01	6.92	8.62	9.46	8.4	8.94	7.44	6.74
Nsfl1c	53.74	48.65	44.91	42.27	40.67	45.66	48.83	46.37	47.71	42.95	43.08	48.69	37.09	45.74	50.44	47.13
